Содержание,Сервис,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Система,Место,Ранг важности,День недели обращения,Месяц обращения,Час обращения,День года обращения,Время с обращения до восстановления,Время с обращения до закрытия,Время с обращения до крайнего срока,Время с восстановления до крайнего срока,Время с закрытия до крайнего срока
тестирование нарушение работоспособности система435,106,0,1006,2018-01-30 08:39:00,2018-01-30 07:39:00,0,0,тестовый запрос,0,2018-01-30 07:54:00,2018-01-30 07:54:00,109,1,14,1,1,7,30,900,900,3600,2700,2700
разблокировка учётной записи,7,1,8,2018-02-03 06:36:00,2018-01-30 10:41:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-30 11:53:00,2018-01-31 06:26:00,7,24,12,1,1,10,30,4320,71100,330900,326580,259800
сбой работе система8 сервисы недоступны,8,1,255,2018-01-30 15:49:00,2018-01-30 11:49:00,0,0,сбой работе координатора,0,2018-01-30 11:56:00,2018-02-07 07:56:00,8,1,10,1,1,11,30,420,677220,14400,13980,-662820
ботнаблюдения система120 ухудшение статуса сервиса,115,1,56,2018-02-03 06:36:00,2018-01-30 14:11:00,1,1,выполнен рестарт ла,0,2018-01-30 14:36:00,2018-02-07 08:43:00,120,1,5,1,1,14,30,1500,671520,318300,316800,-353220
ботнаблюдения система56 ухудшение статуса сервиса,23,0,201,2018-02-02 15:36:00,2018-01-30 18:13:00,1,1,решен рамках другова запроса,0,2018-01-31 13:15:00,2018-01-31 13:15:00,23,1,12,1,1,18,30,68520,68520,249780,181260,181260
ботнаблюдения 65_система500 ухудшение статуса сервиса,99,1,84,2018-02-03 06:36:00,2018-01-30 20:56:00,1,1,выполнялась штатная перезагрузка сервера система500,0,2018-01-31 03:41:00,2018-02-07 07:56:00,100,1,12,1,1,20,30,24300,644400,294000,269700,-350400
разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-30 22:39:00,1,1,выполнена разблокировка уз система7 n_boss причина блокировки пользователю известна,0,2018-01-30 22:39:00,2018-02-07 07:56:00,7,222,12,1,1,22,30,0,638220,287820,287820,-350400
настройка эп сервис22,22,0,137,2018-02-03 06:36:00,2018-01-30 22:39:00,1,1,заявка настройке прав визирования отсутствует,0,2018-01-31 10:45:00,2018-01-31 10:45:00,22,197,7,1,1,22,30,43560,43560,287820,244260,244260
разблокировка узсистема7boss,7,1,8,2018-02-03 06:36:00,2018-01-30 22:50:00,1,1,выполнена разблокировка уз система7 n_boss причина блокировки пользователю известна,0,2018-01-30 22:50:00,2018-01-30 22:59:00,7,31,12,1,1,22,30,0,540,287160,287160,286620
разблокировка уз система7 region,7,1,8,2018-02-03 06:36:00,2018-01-30 23:02:00,1,1,выполнена разблокировка уз система7 n_boss причина блокировки пользователю известна,0,2018-01-30 23:02:00,2018-01-30 23:58:00,7,201,12,1,1,23,30,0,3360,286440,286440,283080
разблокировка уз система7 region,7,1,8,2018-02-03 06:36:00,2018-01-30 23:19:00,1,1,выполнена разблокировка уз система7 n_boss причина блокировки пользователю известна,0,2018-01-30 23:19:00,2018-01-30 23:36:00,7,191,12,1,1,23,30,0,1020,285420,285420,284400
заблокировать учетную запись пользователя система21,21,1,298,2018-02-03 06:36:00,2018-01-30 23:57:00,1,1,выполнено,0,2018-01-31 01:09:00,2018-02-03 02:08:00,21,185,11,1,1,23,30,4320,267060,283140,278820,16080
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 00:01:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 00:21:00,2018-02-07 07:56:00,7,177,11,2,1,0,31,1200,633300,282900,281700,-350400
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 00:21:00,1,1,добрый день создана новая редакция договора возможности внесения необходимых изменений работать новой редакцией необходимо зайти сведения договора далее вкладка редакцииверсии договора строке типом исправление договору статусе проект нажать кнопку редактировать иконка виде карандаша внесения корректировок выполнить регистрацию отправку внесение необходимых изменений сервис22 возможно двумя способами 1 внести изменения вручную 2 отправкой новой редакции выгруженного договора сервис22 необходимо удалить связь система18 guid выгрузке новой редакции сервис22 появится новый экземпляр договора внесенными вами корректировками удалить связь могут сотрудники ролями контролер пвд регистратор пвд сервис22 вероятнее это сотрудник бухгалтерии либо сотрудник сопровождающий сервис22 местном уровне,0,2018-01-31 01:18:00,2018-02-07 07:56:00,18,155,4,2,1,0,31,3420,632100,281700,278280,-350400
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-02-02 02:36:00,2018-01-31 00:29:00,1,1,работы обращению выполнены,0,2018-01-31 10:51:00,2018-01-31 23:26:00,101,177,7,2,1,0,31,37320,82620,180420,143100,97800
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 00:40:00,1,1,работы обращению выполнены,0,2018-01-31 02:12:00,2018-01-31 02:54:00,18,191,5,2,1,0,31,5520,8040,280560,275040,272520
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 00:42:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 01:27:00,2018-02-07 07:56:00,7,159,11,2,1,0,31,2700,630840,280440,277740,-350400
тема обращения разблокировка учётной записи учётная запись домен другие,7,0,302,2018-02-03 06:36:00,2018-01-31 00:51:00,1,1,запрос отменён пользователем портала самообслуживания,0,2018-01-31 01:03:00,2018-01-31 01:03:00,7,185,11,2,1,0,31,720,720,279900,279180,279180
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-02-02 02:36:00,2018-01-31 00:56:00,1,1,работы обращению выполнены,0,2018-01-31 13:18:00,2018-02-07 14:39:00,101,159,7,2,1,0,31,44520,654180,178800,134280,-475380
заявка предоставление отзыв прав доступа ресурсам,11,1,13,2018-02-02 08:36:00,2018-01-31 01:04:00,1,1,работы обращению выполнены,0,2018-01-31 05:07:00,2018-02-07 07:56:00,11,181,0,2,1,1,31,14580,629520,199920,185340,-429600
сообщить ошибкенеисправности система18,18,1,18,2018-02-03 06:36:00,2018-01-31 01:11:00,0,1,контрагент добавлен система18,2,2018-01-31 01:20:00,2018-01-31 01:23:00,18,159,4,2,1,1,31,540,720,278700,278160,277980
ремонт стула,73,1,386,2018-02-03 06:36:00,2018-01-31 01:23:00,1,1,исполнено,0,2018-01-31 03:16:00,2018-01-31 04:31:00,71,220,0,2,1,1,31,6780,11280,277980,271200,266700
система11 ошибка создании запроса,11,1,128,2018-02-03 06:36:00,2018-01-31 01:29:00,1,1,самовосстановление,0,2018-01-31 15:09:00,2018-02-08 07:30:00,11,1,0,2,1,1,31,49200,712860,277620,228420,-435240
лампа,37,1,198,2018-02-03 06:36:00,2018-01-31 01:30:00,1,1,решен,0,2018-02-02 04:16:00,2018-02-02 04:24:00,39,15,0,2,1,1,31,182760,183240,277560,94800,94320
1307 вода,64,1,342,2018-02-03 06:36:00,2018-01-31 01:32:00,1,1,емкость заменили,0,2018-02-01 08:19:00,2018-02-02 03:54:00,64,15,0,2,1,1,31,110820,181320,277440,166620,96120
заявка предоставление отзыв прав доступа ресурсам,41,1,13,2018-02-03 06:36:00,2018-01-31 01:34:00,1,1,работы обращению выполнены,0,2018-02-01 16:19:00,2018-02-02 02:37:00,43,106,0,2,1,1,31,139500,176580,277320,137820,100740
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-02-03 06:36:00,2018-01-31 01:36:00,1,1,разделитель загружен,0,2018-01-31 02:06:00,2018-01-31 02:25:00,22,213,7,2,1,1,31,1800,2940,277200,275400,274260
ви событие мониторинга портал,183,1,434,2018-02-03 06:36:00,2018-01-31 01:39:00,1,1,хостсервер проверен порты функционируют,0,2018-01-31 06:04:00,2018-02-07 07:56:00,198,20,11,2,1,1,31,15900,627420,277020,261120,-350400
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 01:40:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 01:47:00,2018-01-31 02:33:00,7,141,11,2,1,1,31,420,3180,276960,276540,273780
транспортный шлюз,61,1,1,2018-02-03 07:33:00,2018-01-31 01:40:00,1,1,пользователь проинформирован внесённом сопровождении электронной почте,0,2018-01-31 17:51:00,2018-02-08 07:55:00,61,1001,12,2,1,1,31,58260,713700,280380,222120,-433320
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 01:46:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 01:46:00,2018-02-07 07:56:00,7,235,12,2,1,1,31,0,627000,276600,276600,-350400
заявка предоставление отзыв прав доступа ресурсам,12,1,13,2018-02-03 06:36:00,2018-01-31 01:52:00,1,1,выполнено отключение пя,0,2018-01-31 02:27:00,2018-02-07 07:56:00,133,146,11,2,1,1,31,2100,626640,276240,274140,-350400
заявкасервис11,11,1,62,2018-02-02 09:07:00,2018-01-31 02:01:00,1,0,заявке создан инцидент,1,2018-01-31 03:10:00,2018-01-31 03:12:00,11,20,1,2,1,2,31,4140,4260,198360,194220,194100
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-02-03 06:36:00,2018-01-31 02:02:00,1,1,разделитель загружен,0,2018-01-31 02:17:00,2018-01-31 06:23:00,22,150,7,2,1,2,31,900,15660,275640,274740,259980
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-02-03 06:36:00,2018-01-31 02:05:00,1,1,разделитель загружен,0,2018-01-31 02:20:00,2018-01-31 06:22:00,22,150,7,2,1,2,31,900,15420,275460,274560,260040
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 02:07:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 02:08:00,2018-02-01 02:21:00,7,143,12,2,1,2,31,60,87240,275340,275280,188100
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 02:32:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 02:36:00,2018-01-31 03:35:00,7,141,11,2,1,2,31,240,3780,273840,273600,270060
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 02:37:00,1,1,добрый день создана новая редакция договора возможности внесения необходимых изменений работать новой редакцией необходимо зайти сведения договора далее вкладка редакцииверсии договора строке типом исправление договору статусе проект нажать кнопку редактировать иконка виде карандаша внесения корректировок выполнить регистрацию отправку внесение необходимых изменений сервис22 возможно двумя способами 1 внести изменения вручную 2 отправкой новой редакции выгруженного договора сервис22 необходимо удалить связь система18 guid выгрузке новой редакции сервис22 появится новый экземпляр договора внесенными вами корректировками удалить связь могут сотрудники ролями контролер пвд регистратор пвд сервис22 вероятнее это сотрудник бухгалтерии либо сотрудник сопровождающий сервис22 местном уровне,0,2018-01-31 02:42:00,2018-02-07 07:56:00,18,177,4,2,1,2,31,300,623940,273540,273240,-350400
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 02:39:00,2018-01-31 02:39:00,1,1,работы обращению выполнены,0,2018-01-31 12:40:00,2018-02-07 13:58:00,13,215,11,2,1,2,31,36060,645540,172800,136740,-472740
заявка предоставление отзыв прав доступа ресурсам,41,1,13,2018-02-02 02:41:00,2018-01-31 02:41:00,1,1,работы обращению выполнены,0,2018-01-31 06:36:00,2018-02-07 07:56:00,43,164,0,2,1,2,31,14100,623700,172800,158700,-450900
система22,22,1,62,2018-02-03 06:36:00,2018-01-31 02:42:00,1,1,оказана консультация пользователюзапрос закрываем согласованию пользователем,0,2018-01-31 02:51:00,2018-02-07 07:56:00,22,1003,8,2,1,2,31,540,623640,273240,272700,-350400
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-02-03 06:36:00,2018-01-31 02:46:00,1,1,файл разделителями загружен,0,2018-01-31 04:03:00,2018-02-07 07:56:00,22,20,7,2,1,2,31,4620,623400,273000,268380,-350400
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 02:47:00,1,1,добрый день создана новая редакция договора возможности внесения необходимых изменений работать новой редакцией необходимо зайти сведения договора далее вкладка редакцииверсии договора строке типом исправление договору статусе проект нажать кнопку редактировать иконка виде карандаша внесения корректировок выполнить регистрацию отправку внесение необходимых изменений сервис22 возможно двумя способами 1 внести изменения вручную 2 отправкой новой редакции выгруженного договора сервис22 необходимо удалить связь система18 guid выгрузке новой редакции сервис22 появится новый экземпляр договора внесенными вами корректировками удалить связь могут сотрудники ролями контролер пвд регистратор пвд сервис22 вероятнее это сотрудник бухгалтерии либо сотрудник сопровождающий сервис22 местном уровне,0,2018-01-31 02:58:00,2018-01-31 04:01:00,18,67,4,2,1,2,31,660,4440,272940,272280,268500
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 02:48:00,1,1,контрагент добавлен система18,0,2018-01-31 03:00:00,2018-01-31 03:34:00,18,155,4,2,1,2,31,720,2760,272880,272160,270120
разблокировка учётной записи,7,1,8,2018-02-03 06:36:00,2018-01-31 02:50:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 02:54:00,2018-02-07 07:56:00,7,210,12,2,1,2,31,240,623160,272760,272520,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 02:55:00,1,1,доступ предоставлен,0,2018-01-31 04:14:00,2018-02-07 07:56:00,7,143,11,2,1,2,31,4740,622860,272460,267720,-350400
заявка,0,1,243,2018-02-03 06:36:00,2018-01-31 02:55:00,1,1,выполнено,0,2018-01-31 04:23:00,2018-02-07 07:56:00,0,159,0,2,1,2,31,5280,622860,272460,267180,-350400
настройка эп сервис22,22,1,137,2018-02-03 06:36:00,2018-01-31 03:00:00,1,1,права предоставлены,0,2018-01-31 15:32:00,2018-02-01 00:56:00,22,67,7,2,1,3,31,45120,78960,272160,227040,193200
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 03:03:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 03:10:00,2018-02-07 07:56:00,7,215,11,2,1,3,31,420,622380,271980,271560,-350400
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 03:04:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 03:04:00,2018-01-31 03:07:00,7,17,12,2,1,3,31,0,180,271920,271920,271740
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлен,0,2018-01-31 04:06:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3600,622200,271800,268200,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлен,0,2018-01-31 03:59:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3180,622200,271800,268620,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлен,0,2018-01-31 04:05:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3540,622200,271800,268260,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлен,0,2018-01-31 04:10:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3840,622200,271800,267960,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлн,0,2018-01-31 04:04:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3480,622200,271800,268320,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлн,0,2018-01-31 04:10:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3840,622200,271800,267960,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлен,0,2018-01-31 04:08:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3720,622200,271800,268080,-350400
заявка,7,1,825,2018-02-03 06:36:00,2018-01-31 03:06:00,1,1,доступ предоставлен,0,2018-01-31 04:07:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3660,622200,271800,268140,-350400
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 03:11:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 03:20:00,2018-02-07 07:56:00,7,215,11,2,1,3,31,540,621900,271500,270960,-350400
обнаружено нарушение целостности обработке задания сзи sn,129,1,211,2018-02-03 06:36:00,2018-01-31 03:12:00,1,1,выполнен пересчет задания кц,0,2018-01-31 05:46:00,2018-02-07 07:56:00,226,1002,0,2,1,3,31,9240,621840,271440,262200,-350400
изменение состава группы,7,1,13,2018-02-03 06:36:00,2018-01-31 03:23:00,1,1,объект еск ne_boss исключен группы домена ne_boss,0,2018-01-31 03:44:00,2018-01-31 04:15:00,7,216,11,2,1,3,31,1260,3120,270780,269520,267660
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 03:29:00,2018-01-31 03:29:00,1,1,работы обращению выполнены,0,2018-01-31 12:43:00,2018-02-07 13:58:00,13,172,11,2,1,3,31,33240,642540,172800,139560,-469740
консультация решение проблем связанных сервисами система13,13,1,343,2018-02-03 06:36:00,2018-01-31 03:38:00,1,1,выполнено ярлык има планирование вынесен рабочий стол,0,2018-01-31 07:44:00,2018-02-07 09:03:00,13,292,12,2,1,3,31,14760,624300,269880,255120,-354420
изменение состава группы,7,1,13,2018-02-03 06:36:00,2018-01-31 03:40:00,1,1,объект еск ne_boss исключен группы домена ne_boss,0,2018-01-31 04:13:00,2018-01-31 04:42:00,7,216,11,2,1,3,31,1980,3720,269760,267780,266040
консультация решение проблем связанных сервисами система13,13,1,343,2018-02-03 06:36:00,2018-01-31 03:40:00,1,1,выполнено ярлык има планирование размещен рабочий стол,0,2018-01-31 07:46:00,2018-02-07 07:57:00,13,292,12,2,1,3,31,14760,620220,269760,255000,-350460
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 03:42:00,1,1,добрый день текущем релизе система18 реализована функция создания новой редакции текущего договорадс дальнейшего внесения исправлений режиме сведения договора редакцииверсии договора вашего договора создана новая редакция статусе проект которую возможно внести необходимые изменения вход редактирование осуществляется нажатию значка карандаш далее необходимо заполнить поле основание внесения исправлений указав причину внесения изменений затем вносить требуемые изменения переход пунктами осуществляется аналогично первичной регистрации договорадс посредством нажатия кнопки далее заполнения необходимо также зарегистрировать договордс осуществить отправку сервис22 реестровый номер изменится наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-31 04:05:00,2018-02-07 07:56:00,18,210,5,2,1,3,31,1380,620040,269640,268260,-350400
изменение состава группы,7,1,13,2018-02-03 06:36:00,2018-01-31 03:50:00,1,1,пользователь включен группу,0,2018-01-31 04:46:00,2018-02-07 07:56:00,7,143,11,2,1,3,31,3360,619560,269160,265800,-350400
заменадобавление сертификат сервере система13,13,1,13,2018-02-03 06:36:00,2018-01-31 03:50:00,1,1,сертификатфайл зарегистрирован,0,2018-01-31 07:12:00,2018-01-31 07:58:00,13,139,11,2,1,3,31,12120,14880,269160,257040,254280
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 03:54:00,1,1,добрый день текущем релизе система18 реализована функция создания новой редакции текущего договорадс дальнейшего внесения исправлений режиме сведения договора редакцииверсии договора вашего договора создана новая редакция статусе проект которую возможно внести необходимые изменения вход редактирование осуществляется нажатию значка карандаш далее необходимо заполнить поле основание внесения исправлений указав причину внесения изменений затем вносить требуемые изменения переход пунктами осуществляется аналогично первичной регистрации договорадс посредством нажатия кнопки далее заполнения необходимо также зарегистрировать договордс осуществить отправку сервис22 реестровый номер изменится наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-31 04:23:00,2018-02-07 07:56:00,18,210,5,2,1,3,31,1740,619320,268920,267180,-350400
заменадобавление сертификат сервере система13,13,1,13,2018-02-03 06:36:00,2018-01-31 03:55:00,1,1,сертификатфайл зарегистрирован,0,2018-01-31 07:12:00,2018-01-31 08:12:00,13,139,11,2,1,3,31,11820,15420,268860,257040,253440
контроль пу заявка доступ портам,2,1,555,2018-02-03 06:36:00,2018-01-31 03:58:00,1,1,доступ предоставлен согласно заявке,0,2018-01-31 08:47:00,2018-02-07 10:04:00,2,172,0,2,1,3,31,17340,626760,268680,251340,-358080
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 04:00:00,1,1,добрый день контрагент добавлен справочник поставщики подрядчики исполнители наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-31 04:22:00,2018-01-31 04:43:00,18,141,4,2,1,4,31,1320,2580,268560,267240,265980
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 04:02:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 04:02:00,2018-02-07 08:13:00,7,114,12,2,1,4,31,0,619860,268440,268440,-351420
контроль пу заявка доступ портам,2,1,576,2018-02-03 06:36:00,2018-01-31 04:07:00,1,1,данные предоставлены,0,2018-01-31 05:36:00,2018-02-10 07:53:00,2,100,0,2,1,4,31,5340,877560,268140,262800,-609420
настройкаконсультация техническое обслуживание,18,1,18,2018-02-03 06:36:00,2018-01-31 04:16:00,1,1,добрый день контрагент добавлен справочник поставщики подрядчики исполнители наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-31 04:27:00,2018-01-31 04:39:00,18,146,4,2,1,4,31,660,1380,267600,266940,266220
заменадобавление сертификат сервере система13,13,1,13,2018-02-03 06:36:00,2018-01-31 04:16:00,1,1,сертификатфайл зарегистрирован,0,2018-01-31 07:12:00,2018-02-07 08:43:00,13,157,11,2,1,4,31,10560,620820,267600,257040,-353220
заменадобавление сертификат сервере система13,13,1,13,2018-02-03 06:36:00,2018-01-31 04:18:00,1,1,сертификатфайл зарегистрирован,0,2018-01-31 07:12:00,2018-02-07 08:43:00,13,157,11,2,1,4,31,10440,620700,267480,257040,-353220
регистрация файла сертификат,13,1,18,2018-02-03 06:36:00,2018-01-31 04:22:00,1,1,сертификатфайл зарегистрирован,0,2018-01-31 07:12:00,2018-02-07 08:43:00,13,177,11,2,1,4,31,10200,620460,267240,257040,-353220
изменение состава группы,7,1,13,2018-02-03 06:36:00,2018-01-31 04:28:00,1,1,объект еск ne_boss исключен группы домена ne_boss,0,2018-01-31 04:52:00,2018-02-07 07:56:00,7,143,11,2,1,4,31,1440,617280,266880,265440,-350400
заявка,7,0,650,2018-02-03 06:36:00,2018-01-31 04:31:00,1,1,запрос отменён пользователем портала самообслуживания,0,2018-01-31 04:43:00,2018-01-31 04:43:00,7,210,11,2,1,4,31,720,720,266700,265980,265980
часы,102,0,363,2018-02-03 06:36:00,2018-01-31 04:37:00,1,1,запрос отменён пользователем портала самообслуживания,0,2018-01-31 04:46:00,2018-01-31 04:46:00,104,198,0,2,1,4,31,540,540,266340,265800,265800
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 04:39:00,2018-01-31 04:39:00,1,1,работы обращению выполнены,0,2018-01-31 12:48:00,2018-02-07 14:04:00,13,219,11,2,1,4,31,29340,638700,172800,143460,-465900
элемент питания настенных часов,73,1,361,2018-02-03 06:36:00,2018-01-31 04:39:00,1,1,батарейка выдана,0,2018-01-31 04:58:00,2018-02-07 07:56:00,71,140,0,2,1,4,31,1140,616620,266220,265080,-350400
разгрузка машины,73,1,345,2018-02-03 06:36:00,2018-01-31 04:40:00,1,1,выполнено,0,2018-01-31 09:05:00,2018-01-31 12:14:00,71,15,0,2,1,4,31,15900,27240,266160,250260,238920
контроль пу заявка доступ портам,2,1,208,2018-02-03 06:36:00,2018-01-31 04:41:00,1,1,доступ предоставлен согласно заявке,0,2018-01-31 08:42:00,2018-02-07 09:58:00,2,67,0,2,1,4,31,14460,623820,266100,251640,-357720
заблокировать учетную запись пользователя система21,21,1,108,2018-02-03 06:36:00,2018-01-31 04:42:00,1,1,учетная запись пользователя заблокирована,0,2018-01-31 04:51:00,2018-02-07 07:56:00,21,42,11,2,1,4,31,540,616440,266040,265500,-350400
разблокировать учетную запись пользователя система21,21,1,108,2018-02-03 06:36:00,2018-01-31 04:43:00,1,1,учетная запись пользователя разблокирована,0,2018-01-31 04:50:00,2018-02-07 07:56:00,21,42,11,2,1,4,31,420,616380,265980,265560,-350400
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 04:46:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 04:46:00,2018-01-31 04:55:00,7,20,12,2,1,4,31,0,540,265800,265800,265260
часы,73,1,575,2018-02-03 06:36:00,2018-01-31 04:46:00,1,1,часы установлены соответствии заявкой,0,2018-01-31 04:52:00,2018-01-31 05:37:00,71,198,0,2,1,4,31,360,3060,265800,265440,262740
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 04:49:00,2018-01-31 04:49:00,1,1,работы обращению выполнены,0,2018-01-31 12:50:00,2018-01-31 12:55:00,13,102,11,2,1,4,31,28860,29160,172800,143940,143640
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 04:49:00,2018-01-31 04:49:00,1,1,работы обращению выполнены,0,2018-01-31 12:53:00,2018-02-07 14:10:00,13,102,11,2,1,4,31,29040,638460,172800,143760,-465660
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 04:50:00,2018-01-31 04:50:00,1,1,работы обращению выполнены,0,2018-01-31 12:59:00,2018-02-07 14:16:00,13,102,11,2,1,4,31,29340,638760,172800,143460,-465960
заявка предоставление отзыв прав доступа ресурсам,12,1,12,2018-02-02 06:36:00,2018-01-31 04:53:00,1,1,работы обращению выполнены,0,2018-01-31 11:40:00,2018-01-31 12:17:00,466,174,11,2,1,4,31,24420,26640,178980,154560,152340
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 04:54:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 04:54:00,2018-02-07 07:56:00,7,207,12,2,1,4,31,0,615720,265320,265320,-350400
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-02-02 05:00:00,2018-01-31 05:00:00,1,1,работы обращению выполнены,0,2018-01-31 13:03:00,2018-02-07 14:22:00,13,197,11,2,1,5,31,28980,638520,172800,143820,-465720
просим вывезти мешок макулатурой,73,1,345,2018-02-03 06:36:00,2018-01-31 05:02:00,1,1,выполнено,0,2018-02-02 05:48:00,2018-02-09 08:56:00,71,15,0,2,1,5,31,175560,791640,264840,89280,-526800
выполнена разблокировка уз region,7,1,8,2018-02-03 06:36:00,2018-01-31 05:02:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-31 05:02:00,2018-02-07 07:56:00,7,161,12,2,1,5,31,0,615240,264840,264840,-350400
отключение учётной записи,7,1,13,2018-02-03 06:36:00,2018-01-31 05:05:00,1,1,выполнено штатное отключение уз ne_boss,0,2018-01-31 05:08:00,2018-01-31 05:31:00,7,102,11,2,1,5,31,180,1560,264660,264480,263100
заблокировать учетную запись пользователя система21,21,1,325,2018-02-03 06:36:00,2018-01-31 05:05:00,1,1,учетная запись пользователя заблокирована,0,2018-01-31 08:37:00,2018-02-07 10:58:00,21,243,11,2,1,5,31,12720,625980,264660,251940,-361320
